TableName,IndexName,partition_number,BoundaryFrom,RowsInPartition
CardTransaction,PK_CardTransaction,1,NULL,0
CardTransaction,PK_CardTransaction,2,20240201,0
CardTransaction,PK_CardTransaction,3,20240301,0
CardTransaction,PK_CardTransaction,4,20240401,0
CardTransaction,PK_CardTransaction,5,20240501,0
CardTransaction,PK_CardTransaction,6,20240601,0
CardTransaction,PK_CardTransaction,7,20240701,0
CardTransaction,PK_CardTransaction,8,20240801,0
CardTransaction,PK_CardTransaction,9,20240901,0
CardTransaction,PK_CardTransaction,10,20241001,0
CardTransaction,PK_CardTransaction,11,20241101,0
CardTransaction,PK_CardTransaction,12,20241201,0
CardTransaction,PK_CardTransaction,13,20250101,0
CardTransaction,PK_CardTransaction,14,20250201,0
CardTransaction,PK_CardTransaction,15,20250301,0
CardTransaction,PK_CardTransaction,16,20250401,0
CardTransaction,PK_CardTransaction,17,20250501,0
CardTransaction,PK_CardTransaction,18,20250601,0
CardTransaction,PK_CardTransaction,19,20250701,0
CardTransaction,PK_CardTransaction,20,20250801,0
CardTransaction,PK_CardTransaction,21,20250901,0
CardTransaction,PK_CardTransaction,22,20251001,0
CardTransaction,PK_CardTransaction,23,20251101,0
CardTransaction,PK_CardTransaction,24,20251201,0
CardTransaction,PK_CardTransaction,25,20260101,0
CardTransaction,PK_CardTransaction,26,20260201,0
CardTransaction,PK_CardTransaction,27,20260301,0
CardTransaction,PK_CardTransaction,28,20260401,0
CardTransaction,PK_CardTransaction,29,20260501,0
CardTransaction,PK_CardTransaction,30,20260601,0
CardTransaction,PK_CardTransaction,31,20260701,0
CardTransaction,PK_CardTransaction,32,20260801,0
CardTransaction,PK_CardTransaction,33,20260901,0
CardTransaction,PK_CardTransaction,34,20261001,0
CardTransaction,PK_CardTransaction,35,20261101,0
CardTransaction,PK_CardTransaction,36,20261201,0
CardTransaction,PK_CardTransaction,37,20270101,0
CardTransaction,PK_CardTransaction,38,20270201,0
CardTransaction,PK_CardTransaction,39,20270301,0
CardTransaction,PK_CardTransaction,40,20270401,0
CardTransaction,PK_CardTransaction,41,20270501,0
CardTransaction,PK_CardTransaction,42,20270601,0
CardTransaction,PK_CardTransaction,43,20270701,0
CardTransaction,PK_CardTransaction,44,20270801,0
CardTransaction,PK_CardTransaction,45,20270901,0
CardTransaction,PK_CardTransaction,46,20271001,0
CardTransaction,PK_CardTransaction,47,20271101,0
CardTransaction,PK_CardTransaction,48,20271201,0
CardTransaction,PK_CardTransaction,49,20280101,0
CardTransaction,PK_CardTransaction,50,20280201,0
CardTransaction,PK_CardTransaction,51,20280301,0
CardTransaction,PK_CardTransaction,52,20280401,0
CardTransaction,PK_CardTransaction,53,20280501,0
CardTransaction,PK_CardTransaction,54,20280601,0
CardTransaction,PK_CardTransaction,55,20280701,0
CardTransaction,PK_CardTransaction,56,20280801,0
CardTransaction,PK_CardTransaction,57,20280901,0
CardTransaction,PK_CardTransaction,58,20281001,0
CardTransaction,PK_CardTransaction,59,20281101,0
CardTransaction,PK_CardTransaction,60,20281201,0
CardTransaction,PK_CardTransaction,61,20290101,0
CardTransaction,PK_CardTransaction,62,20290201,0
CardTransaction,PK_CardTransaction,63,20290301,0
CardTransaction,PK_CardTransaction,64,20290401,0
CardTransaction,PK_CardTransaction,65,20290501,0
CardTransaction,PK_CardTransaction,66,20290601,0
CardTransaction,PK_CardTransaction,67,20290701,0
CardTransaction,PK_CardTransaction,68,20290801,0
CardTransaction,PK_CardTransaction,69,20290901,0
CardTransaction,PK_CardTransaction,70,20291001,0
CardTransaction,PK_CardTransaction,71,20291101,0
CardTransaction,PK_CardTransaction,72,20291201,0
MykiPass,IX_MykiPass_PassID,1,NULL,0
MykiPass,PK_MykiPass,1,NULL,0
MykiPass,IX_MykiPass_PassID,2,20250101,0
MykiPass,PK_MykiPass,2,20250101,0
MykiPass,IX_MykiPass_PassID,3,20260101,0
MykiPass,PK_MykiPass,3,20260101,0
MykiPass,IX_MykiPass_PassID,4,20270101,0
MykiPass,PK_MykiPass,4,20270101,0
MykiPass,IX_MykiPass_PassID,5,20280101,0
MykiPass,PK_MykiPass,5,20280101,0
MykiPass,IX_MykiPass_PassID,6,20290101,0
MykiPass,PK_MykiPass,6,20290101,0
MykiPass,IX_MykiPass_PassID,7,20300101,0
MykiPass,PK_MykiPass,7,20300101,0
MykiPass,IX_MykiPass_PassID,8,20310101,0
MykiPass,PK_MykiPass,8,20310101,0
MykiPass,IX_MykiPass_PassID,9,20320101,0
MykiPass,PK_MykiPass,9,20320101,0
MykiPass,IX_MykiPass_PassID,10,20330101,0
MykiPass,PK_MykiPass,10,20330101,0
MykiPass,IX_MykiPass_PassID,11,20340101,0
MykiPass,PK_MykiPass,11,20340101,0
MykiPass,IX_MykiPass_PassID,12,20350101,0
MykiPass,PK_MykiPass,12,20350101,0
Trip,PK_Trip,1,NULL,0
Trip,PK_Trip,2,20240201,0
Trip,PK_Trip,3,20240301,0
Trip,PK_Trip,4,20240401,0
Trip,PK_Trip,5,20240501,0
Trip,PK_Trip,6,20240601,0
Trip,PK_Trip,7,20240701,0
Trip,PK_Trip,8,20240801,0
Trip,PK_Trip,9,20240901,0
Trip,PK_Trip,10,20241001,0
Trip,PK_Trip,11,20241101,0
Trip,PK_Trip,12,20241201,0
Trip,PK_Trip,13,20250101,0
Trip,PK_Trip,14,20250201,0
Trip,PK_Trip,15,20250301,0
Trip,PK_Trip,16,20250401,0
Trip,PK_Trip,17,20250501,0
