Receipt ID,File name,Receipt Format,Phone Model,Image Quality of Photo,Receipt Condition in Photo,Angle of receipt in Photo,Vendor Name Printed in Receipt,Format of Vendor Name in Receipt,Vendor that Issued the Receipt,Vendor Type,Extracted Vendor Name,Does Extracted Vendor Name contain additional characters apart from the Original Vendor Name?,Extracted Date,Does the Extracted Date match the date in Receipt?,Date Printed in Receipt,Are Items Extracted?,No. of Unique Items in Receipt,Language used in Receipt?,Extracted Item Count
6756129d-c358-4dc3-9414-c10c232527e6,receipt1_C.jpg,Physical,"iPhone 13 Pro, iOS version 18.6.2",Clear,Folded,Skewed,smiggle,Logo,Smiggle,Stationery & Office,smiggle,N,16-Apr-25,Y,Wed 16 Apr 2025,Y,3,English,3
f2a3f0c6-6e61-4441-9cba-0947b23b9609,receipt1_G.jpg,Physical,"Google Pixel 7 Pro, Android version 16",Clear,Folded,Skewed,NIKULAND,Text,Nikuland,Eating out & takeaway,NIKULAND,N,01 Aug. 2025,Y,Fri 01 Aug.2025,Y,2,English,2
432343dc-df03-4fb9-81ad-bd2cb50635fb,receipt1_J.jpg,E-receipt,NA,NA,NA,NA,BIGW,Logo,BIGW,Department Store,BIGW,N,4/7/2025,N,7/4/2025,Y,2,English,2
6df9f979-81b4-41ea-af1e-c0c34fdf2fb4,receipt1_S.jpg,Physical,"Samsung Galaxy A52, Android version 14",Clear,Crumpled,Skewed,metro,Logo,Woolworths Metro,Groceries,metro,N,22/8/2025,Y,22/8/2025,Y,1,English,1
16a15894-edde-48b3-a6c2-7ba6dd956d26,receipt10_C.jpg,Physical,"iPhone 13 Pro, iOS version 18.6.2",Clear,Folded,Skewed,"MAD
MEX",Logo,Mad Mex,Eating out & takeaway,MAD\nMEX,Y,16/8/2025,Y,16/8/2025,Y,1,English,1
aa36ebb6-23bd-4522-864a-389992a1898d,receipt10_G.jpg,Physical,"Google Pixel 7 Pro, Android version 16",Clear,Folded,Skewed,"NIKU
SHIKI",Logo,Niku Shiki,Eating out & takeaway,NIKU\nSHIKI,Y,9/5/2025,N,5/9/2025,Y,1,English,1
9becbfb2-0cb8-459e-b5a6-be6bf2912108,receipt10_J.jpg,E-receipt,NA,NA,NA,NA,WOOLWORTHS GROUP LIMITED,Text,Woolworths,Groceries,WOOLWORTHS GROUP LIMITED,N,7/4/2025,N,4/7/2025,Y,7,English,7
9eac0a11-3bbb-4aed-89a3-83b89934b2fd,receipt10_S.jpg,Physical,"Samsung Galaxy A52, Android version 14",Clear,Crumpled,Skewed,IGA,Logo,IGA,Groceries,IGA,N,9/11/2025,N,11/9/2025,Y,6,English,6
d882d965-33e6-40cb-be97-0e19056506ac,receipt11_C.jpg,Physical,"iPhone 13 Pro, iOS version 18.6.2",Clear,Crumpled,Skewed,"ALDI STORES
LIMITED PARTNERSHIP",Text,Aldi,Groceries,ALDI STORES,N,25.03.25,Y,25.03.25,Y,2,English,2
370ef667-1738-479f-8e54-19fa3743bf2e,receipt11_G.jpg,Physical,"Google Pixel 7 Pro, Android version 16",Blurred,Flat,Skewed,Unknown,NA,Pepper Lunch,Eating out & takeaway,Unknown,NA,9/5/2025,N,5/9/2025,N,1,English,0
9aee0161-6d7d-4646-aea6-91ca2c93b0f1,receipt11_J.jpg,E-receipt,NA,NA,NA,NA,WOOLWORTHS GROUP LIMITED,Text,Woolworths,Groceries,WOOLWORTHS GROUP LIMITED,N,8/6/2025,N,6/8/2025,Y,7,English,7
